"File","Line","Type","IconPath","IconState"
"code/modules/f13/wasteland_grid.dm","4058","/obj/structure/wasteland_grid/rock_rb1","code/modules/f13/128x128_rock_sprites.dmi","rb1"
"code/modules/f13/wasteland_grid.dm","4070","/obj/structure/wasteland_grid/rock_rb2","code/modules/f13/128x128_rock_sprites.dmi","rb2"
"code/modules/f13/wasteland_grid.dm","4082","/obj/structure/wasteland_grid/rock_rb3","code/modules/f13/128x128_rock_sprites.dmi","rb3"
"code/modules/f13/wasteland_grid.dm","4094","/obj/structure/wasteland_grid/rock_rb4","code/modules/f13/128x128_rock_sprites.dmi","rb4"
"code/modules/f13/wasteland_grid.dm","4106","/obj/structure/wasteland_grid/rock_rb5","code/modules/f13/128x128_rock_sprites.dmi","rb5"
"code/modules/f13/wasteland_grid.dm","4118","/obj/structure/wasteland_grid/rock_rb6","code/modules/f13/128x128_rock_sprites.dmi","rb6"
"code/modules/f13/wasteland_grid.dm","4130","/obj/structure/wasteland_grid/rock_rb7","code/modules/f13/128x128_rock_sprites.dmi","rb7"
"code/modules/f13/wasteland_grid.dm","4142","/obj/structure/wasteland_grid/rock_rb8","code/modules/f13/128x128_rock_sprites.dmi","rb8"
"code/modules/f13/wasteland_grid.dm","4020","/obj/structure/wasteland_grid/giant_footstep","code/modules/f13/128x128_sprites.dmi","Giant_footstep"
"code/modules/f13/wasteland_grid.dm","3964","/obj/structure/wasteland_grid/large_vent","code/modules/f13/128x32_vents.dmi","Large_vent"
"code/modules/f13/wasteland_grid.dm","3922","/obj/structure/wasteland_grid/west_tek_turbine","code/modules/f13/128x320_deco.dmi",""
"code/modules/f13/wasteland_grid.dm","3934","/obj/structure/wasteland_grid/turbine_deco","code/modules/f13/128x320_deco.dmi","Turbine_deco"
"code/modules/f13/wasteland_grid.dm","4340","/obj/structure/f13/fev_vat","code/modules/f13/160x128_FEV_VAT.dmi","FEV_VAT"
"code/modules/f13/wasteland_grid.dm","4046","/obj/structure/wasteland_grid/road_gate","code/modules/f13/160x32_sprites.dmi","RoadGate"
"code/modules/f13/wasteland_grid.dm","4238","/obj/structure/wasteland_grid/west_tek_billboard","code/modules/f13/224x128_billboards.dmi","WestTek_billboard"
"code/modules/f13/wasteland_grid.dm","4034","/obj/structure/wasteland_grid/crashed_vertibird","code/modules/f13/256x192_sprites.dmi","Crashed_vertibird"
"code/modules/f13/wasteland_grid.dm","3976","/obj/structure/wasteland_grid/floor_vent1","code/modules/f13/32x32_floor.dmi","Vent1"
"code/modules/f13/wasteland_grid.dm","3987","/obj/structure/wasteland_grid/floor_vent2","code/modules/f13/32x32_floor.dmi","vent2"
"code/modules/f13/wasteland_grid.dm","3998","/obj/structure/wasteland_grid/floor_vent3","code/modules/f13/32x32_floor.dmi","vent3"
"code/modules/f13/wasteland_grid.dm","4009","/obj/structure/wasteland_grid/floor_vent4","code/modules/f13/32x32_floor.dmi","vent4"
"code/modules/f13/wasteland_grid.dm","4675","/obj/structure/grid/backup_generator","code/modules/f13/64x64_machinery.dmi","generator_off"
"code/modules/f13/wasteland_grid.dm","4154","/obj/structure/wasteland_grid/rock_r1","code/modules/f13/64x64_rock_sprites.dmi","R1"
"code/modules/f13/wasteland_grid.dm","4166","/obj/structure/wasteland_grid/rock_r2","code/modules/f13/64x64_rock_sprites.dmi","R2"
"code/modules/f13/wasteland_grid.dm","4178","/obj/structure/wasteland_grid/rock_r3","code/modules/f13/64x64_rock_sprites.dmi","R3"
